Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
40527847,10/12/2018 16:11,,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10027,375 WEST  126 STREET,WEST  126 STREET,ST NICHOLAS AVE,MORNINGSIDE AVE,,,ADDRESS,NEW YORK,,N/A,Started,,10/15/2018 9:11,09 MANHATTAN,MANHATTAN,997311,235025,Unspecified,MANHATTAN,,,,,,,,40.81175547,-73.95281703,"(40.811755467411686, -73.95281703431608)"
40527839,10/12/2018 11:52,10/12/2018 15:32,DEP,Department of Environmental Protection,Water Quality,"No Sampling Required, Requested Information (QG2)",,10026,40 WEST  116 STREET,WEST  116 STREET,5 AVE,LENOX AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,10/12/2018 15:32,10 MANHATTAN,MANHATTAN,998662,231210,Unspecified,MANHATTAN,,,,,,,,40.80128225,-73.94794473,"(40.80128224625127, -73.94794472712037)"
40526690,10/12/2018 19:00,10/18/2018 0:00,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,10128,1775 YORK AVENUE,YORK AVENUE,FDR DRIVE SB ENTRANCE YORK AVE,FDR DRIVE SB ENTRANCE YORK AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,10/18/2018 0:00,08 MANHATTAN,MANHATTAN,999687,223458,Unspecified,MANHATTAN,,,,,,,,40.78000336,-73.94426031,"(40.78000336478368, -73.9442603067877)"
40526622,10/10/2018 12:15,10/19/2018 13:07,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,11211,467 KEAP STREET,KEAP STREET,AINSLIE ST,UNION AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,10/19/2018 13:07,01 BROOKLYN,BROOKLYN,997518,199042,Unspecified,BROOKLYN,,,,,,,,40.71299111,-73.95214027,"(40.71299110779551, -73.95214026620638)"
40526619,10/12/2018 16:54,10/15/2018 9:21,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10069,220 RIVERSIDE BOULEVARD,RIVERSIDE BOULEVARD,W 70 ST,W 71 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,10/15/2018 9:21,07 MANHATTAN,MANHATTAN,987606,223339,Unspecified,MANHATTAN,,,,,,,,40.77968958,-73.98788226,"(40.77968958467983, -73.98788226229857)"
40525521,10/12/2018 21:14,10/15/2018 12:22,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10461,2100 EASTCHESTER ROAD,EASTCHESTER ROAD,MC DONALD ST,RHINELANDER AVE,,,ADDRESS,BRONX,,N/A,Closed,,10/15/2018 12:22,11 BRONX,BRONX,1027426,251197,Unspecified,BRONX,,,,,,,,40.85604702,-73.84392242,"(40.85604702402423, -73.84392241558304)"
40525499,10/12/2018 16:45,,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,10468,2277 ANDREWS AVENUE NORTH,ANDREWS AVENUE NORTH,W 183 ST,W FORDHAM RD,,,ADDRESS,BRONX,,N/A,Open,,,07 BRONX,BRONX,1009752,252960,Unspecified,BRONX,,,,,,,,40.86095467,-73.90780566,"(40.86095466997928, -73.9078056580983)"
40525489,10/12/2018 13:41,10/12/2018 15:40,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Sewer (QA5)",,10463,511 WEST  232 STREET,WEST  232 STREET,BEND,BEND,,,ADDRESS,BRONX,,N/A,Closed,,10/12/2018 15:40,08 BRONX,BRONX,1009414,260876,Unspecified,BRONX,,,,,,,,40.88268262,-73.90899786,"(40.88268262189564, -73.908997858203)"
40524493,10/11/2018 15:18,10/17/2018 8:14,DEP,Department of Environmental Protection,Water Quality,Clear Water With Other Particles (Use Comments) (QEZ),,11377,69-16 30 AVENUE,30 AVENUE,BOODY ST,70 ST,,,ADDRESS,Woodside,,N/A,Closed,,10/17/2018 8:14,03 QUEENS,QUEENS,1012548,216181,Unspecified,QUEENS,,,,,,,,40.75999809,-73.89785267,"(40.75999808916082, -73.89785266926118)"
40523557,10/11/2018 19:56,10/17/2018 8:20,DEP,Department of Environmental Protection,Water Quality,"No Sampling Required, Requested Information (QG2)",,11223,1758 EAST    4 STREET,EAST    4 STREET,AVENUE P,QUENTIN RD,,,ADDRESS,BROOKLYN,,N/A,Closed,,10/17/2018 8:20,15 BROOKLYN,BROOKLYN,992668,160639,Unspecified,BROOKLYN,,,,,,,,40.6075893,-73.96968291,"(40.607589299779015, -73.9696829098205)"
40522543,10/11/2018 9:55,10/12/2018 8:34,DEP,Department of Environmental Protection,Water Quality,unknown odor/taste in drinking water (QA6),,10464,417 KING AVENUE,KING AVENUE,DITMARS ST,KIRBY ST,,,ADDRESS,BRONX,,N/A,Closed,,10/12/2018 8:34,10 BRONX,BRONX,1043433,249232,Unspecified,BRONX,,,,,,,,40.85056091,-73.78607601,"(40.85056090804892, -73.78607601200058)"
